cnpj,gtin,category
21911839000232,07896011102856,"BOLOS, BISCOITOS E BOLACHAS"
17676214000185,07896085051975,"BOLOS, BISCOITOS E BOLACHAS"
47508411134004,04002103248675,CERVEJAS
71322150004408,04891560077962,"BOLOS, BISCOITOS E BOLACHAS"
06057223035552,07891134004261,DESODORANTES
47508411152681,07891048036709,CAFÉS E CHÁS
06057223023112,07896102509144,MASSAS E MOLHOS
06057223023112,07898027658853,DOCES E SOBREMESAS
00063960006212,07898295301130,CERVEJAS
47508411113945,07896224800686,CAFÉS E CHÁS
75315333009246,07896052601110,REFRIGERANTES
39346861026802,07896000726360,CABELO
03640467002219,07896036097335,MASSAS E MOLHOS
00063960006212,07891149040308,CERVEJAS
47508411134004,07898954360348,SUCOS E REFRESCOS
71322150004408,01825523098940,"BOLOS, BISCOITOS E BOLACHAS"
47508411152681,07891048036662,CAFÉS E CHÁS
76430438007184,07894900031706,REFRIGERANTES
75315333007111,05890022745301,CABELO
00063960023575,07891991014786,CERVEJAS
71322150003266,07891079001561,CERVEJAS
39346861026802,07896051121251,IOGURTES E SOBREMESAS
41185455001501,07896005213018,MASSAS E MOLHOS
75315333008002,07891132019076,TEMPEROS E CONDIMENTOS
41185455001501,07891098000392,CAFÉS E CHÁS
75315333009246,06137702113272,REFRIGERANTES
32860231000676,07898626080024,AVES CONGELADAS
76430438007184,07894900011517,REFRIGERANTES
47508411152681,07891048036204,CAFÉS E CHÁS
75315333007111,07899706133432,CABELO
47508411152681,03083680003629,CONSERVAS E ENLATADOS
03640467002219,07896763621223,MASSAS E MOLHOS
76430438007184,07891999007018,IOGURTES E SOBREMESAS
05154589000368,07896003941517,MASSAS E MOLHOS
75315333008002,07896383730121,DESTILADOS
32860231000676,07899026459960,CABELO
06057223023112,07896275980917,DOCES E SOBREMESAS
09379531000101,07891149103270,CERVEJAS
71322150003266,07891150056459,CERVEJAS
39346861029909,07898939399288,LIMPEZA ROUPAS
47508411135833,07891999011398,IOGURTES E SOBREMESAS
47508411113945,07891091017267,CAFÉS E CHÁS
41185455001501,07500435122764,DENTAL
76430438007184,07896317104028,REFRIGERANTES
71322150003266,07896045512317,CERVEJAS
41185455000378,07893000436725,AVES CONGELADAS
08540603000198,07898215151913,LEITE
05154589000368,07893000025653,"MANTEIGAS, PATÊS E REQUEIJÃO"
03720882000905,07895144603599,BOMBONIERE
47508411134004,07894900051513,REFRIGERANTES
75315333009831,07896221600692,LIMPEZA CASA
47508411152681,07898409950889,DOCES E SOBREMESAS
75315333008002,07897721411252,MASSAS E MOLHOS
41185455001501,00000082991302,MASSAS E MOLHOS
00063960005917,00000072992302,MASSAS E MOLHOS
41185455000378,07891024161814,CABELO
71322150001301,07898367983790,CERVEJAS
03640467002219,07898377660094,CERVEJAS
71322150004408,05897400247624,"BOLOS, BISCOITOS E BOLACHAS"
47508411152681,07896005808559,CAFÉS E CHÁS
75315333009831,04898441170347,LIMPEZA CASA
71322150001301,07891149108480,CERVEJAS
75315333008002,07891152222210,MASSAS E MOLHOS
71322150003266,07898962676189,"BOLOS, BISCOITOS E BOLACHAS"
09535928000730,07898559530016,MASSAS E MOLHOS
39346861026802,07891150058965,CABELO
00063960023575,07891000114032,IOGURTES E SOBREMESAS
03720882000905,07897575102672,CERVEJAS
08540603000198,07891000027936,BEBIDAS LÁCTEAS
41185455000378,07891024038420,CABELO
39346861029909,07622210755575,"BOLOS, BISCOITOS E BOLACHAS"
17676214000185,00000078910942,REFRIGERANTES
21911839000232,07896024725264,"BOLOS, BISCOITOS E BOLACHAS"
00063960005917,07896071024778,"BOLOS, BISCOITOS E BOLACHAS"
03720882000905,07896000594051,SUCOS E REFRESCOS
75315333008002,07613033024511,CAFÉS E CHÁS
13004510024100,07896045503414,CERVEJAS
03720882000905,07896005276860,MASSAS E MOLHOS
08540603000198,07896224836128,CAFÉS E CHÁS
06057223023112,07896085812811,CABELO
06057223023112,07897395010126,CERVEJAS
06057223023112,07891150061859,CABELO
71322150004408,07891991013000,CERVEJAS
41185455000378,07896013563600,CABELO
71322150004408,07891203059345,"BOLOS, BISCOITOS E BOLACHAS"
00063960005917,07891910030231,"BOLOS, BISCOITOS E BOLACHAS"
47508411110687,07896005401323,SUCOS E REFRESCOS
