cnpj,gtin,city,state,name,description
33306929000798,7899026461918,SAO PAULO,SP,PROCOSA PRODUTOS DE BELEZA LTDA,KIT AMPOLA DE TRATAMENTO INSTANTÂNEO ELSEVE REPARAÇÃO TOTAL 5 - L'OREAL
89967939000133,7896037913719,FLORES DA CUNHA,RS,FANTE INDUSTRIA DE BEBIDAS LTDA,SUCO QUINTA DO MORGADO 1LT INTEG UVA
17467515000107,7896005805046,SANTA LUZIA,MG,CAFE TRES CORACOES S.A,"CAPSULA DE CHA DE CAPIM CIDREIRA TRES 2,5GR C/10"
5804728000190,7898904189302,TERRA ROXA,SP,FABIO CARVALHO DIAS RALSTON,GOIABADA CREMOSA 500 GR RALSTON RALSTON ALIMENTOS
60498706000157,7896036097458,SAO PAULO,SP,CARGILL AGRICOLA S A,MOLHO SALADA LIZA PT CEASAR
28053619000183,78912359,VILA VELHA,ES,CHOCOLATES GAROTO LTDA.,CHOCOLATE BATON AO LEITE GAROTO
28053619000183,78912359,VILA VELHA,ES,CHOCOLATES GAROTO SA,CHOCOLATE BATON AO LEITE GAROTO
17159518000175,7896417204703,CONTAGEM,MG,DOMINGOS COSTA INDUSTRIAS ALIMENTICIAS SA,MACARRÃO SERPENT VILMA
35402759000185,7896002360326,SAO PAULO,SP,BIMBO DO BRASIL LTDA,PULLMAN TRADICIONAL
1856022000110,7897042013777,UBERABA,MG,MASTER LINE DO BRASIL LTDA,KIT SKALA SHAMPO+CONDICIONADOR 325ML BOMBA DE KERATINA
43643857000132,7896079830135,SAO PAULO,SP,IND DE TORRONE NOSSA SENHORA DE MONTEVERGINE LTDA,DOCE MONTEVERGINE UVA PASSA COB CHOCOLATE
52034139000150,7896003701463,MARILIA,SP,MARILAN ALIMENTOS S/A,BISCOITO MARILAN TORTINHA DE MORANGO
62000278000116,7891021007450,SAO PAULO,SP,MELITTA DO BRASIL INDUSTRIA E COMERCIO LIMITADA,CAFE MELITTA SOLUVEL DESCAF
60409075000152,7891000104927,SAO PAULO,SP,NESTLE BRASIL LTDA.,CEREAL NESTLE BARRA NESFIT MORANGO IOGURTE 42X60
60409075000152,7891000104927,SAO PAULO,SP,NESTLE BRASIL LTDA.,CEREAL NESTLE BARRA NESFIT MORANGO IOGURTE 42X60
16849231000104,7896051145226,BELO HORIZONTE,MG,ITAMBE ALIMENTOS S/A,DOCE DE LEITE COM COCO ITAMBÉ
17467515000107,7896081805367,SANTA LUZIA,MG,CAFE TRES CORACOES S.A,CIROL FILTRO PA 102
22229207000175,7896021314973,MACHADO,MG,PASTIFICIO SANTA AMALIA S/A.,COND PLUSBELLE ÁGUA TERMAL ALO
45997418000153,7894900700398,RIO DE JANEIRO,RJ,COCA COLA INDUSTRIAS LTDA,REFRIGERANTE COCA COLA ZERO MINI LATA 220ML
53512810000193,7896256065862,SAO JOSE DO RIO PRETO,SP,M W A COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,BISCOITO KODILAR ARROZ SEM.80G
62204243000107,7897953700421,SAO JOSE DO RIO PRETO,SP,J. FRANCO LTDA,DOCE ABACAXI 250G DIET HOUSE
46025722000100,7896022207076,SUMARE,SP,PASTIFICIO SELMI SA,BISC RECHEADO RENATA TWITTER 112G CHOC/BAUN
60409075000152,7891000115985,SAO PAULO,SP,NESTLE BRASIL LTDA.,LEITE PO NESTLE NINHO 400G SEMI DESNATADO
60409075000152,7891000115985,SAO PAULO,SP,NESTLE BRASIL LTDA.,LEITE PO NESTLE NINHO 400G SEMI DESNATADO
61365557000110,7896331100327,SAO SEBASTIAO DO PARAISO,MG,GONCALVES SALLES S A INDUSTRIA E COMERCIO,AVIAÇÃO COM SAL POTE
51723435000103,7896496917020,OSASCO,SP,MAETERRA PRODUTOS NATURAIS LTDA,SNACK ORG.TRIBOS ORIGINAL 50GR
