cnpj_store,gtin,category,cnpj_manufacturer,city,state,name,description
47508411134004,7894000001159,SUCOS E REFRESCOS,1615814000101,SAO PAULO,SP,UNILEVER BRASIL INDUSTRIAL LTDA,ADES UVA
41185455001501,7894000001159,SUCOS E REFRESCOS,1615814000101,SAO PAULO,SP,UNILEVER BRASIL INDUSTRIAL LTDA,ADES UVA
3640467002219,7891962035550,"BOLOS, BISCOITOS E BOLACHAS",70940994000101,GUARULHOS,SP,PANDURATA ALIMENTOS LTDA,BISCOITO WAFER LIMÃO - 120G - VISCONTI
6057223023112,7891962035550,"BOLOS, BISCOITOS E BOLACHAS",70940994000101,GUARULHOS,SP,PANDURATA ALIMENTOS LTDA,BISCOITO WAFER LIMÃO - 120G - VISCONTI
39346861029909,7891962035550,"BOLOS, BISCOITOS E BOLACHAS",70940994000101,GUARULHOS,SP,PANDURATA ALIMENTOS LTDA,BISCOITO WAFER LIMÃO - 120G - VISCONTI
71322150004408,7891962035550,"BOLOS, BISCOITOS E BOLACHAS",70940994000101,GUARULHOS,SP,PANDURATA ALIMENTOS LTDA,BISCOITO WAFER LIMÃO - 120G - VISCONTI
39346861029909,7894900701609,REFRIGERANTES,45997418000153,RIO DE JANEIRO,RJ,COCA COLA INDUSTRIAS LTDA,REFRIGERANTE COCA COLA ZERO 600ML
43235985000732,7894900701609,REFRIGERANTES,45997418000153,RIO DE JANEIRO,RJ,COCA COLA INDUSTRIAS LTDA,REFRIGERANTE COCA COLA ZERO 600ML
63960006212,7894900701609,REFRIGERANTES,45997418000153,RIO DE JANEIRO,RJ,COCA COLA INDUSTRIAS LTDA,REFRIGERANTE COCA COLA ZERO 600ML
75315333009246,7894900701609,REFRIGERANTES,45997418000153,RIO DE JANEIRO,RJ,COCA COLA INDUSTRIAS LTDA,REFRIGERANTE COCA COLA ZERO 600ML
