,cnpj,gtin,category
221,71322150003266,7896003706543,"bolos, biscoitos e bolachas"
222,71322150003266,8005110514074,massas e molhos
223,63960005917,7896028800721,massas e molhos
224,71322150004408,7891019000470,massas e molhos
225,43235985000732,7506295369547,cabelo
226,41185455000378,7891048038017,cafés e chás
227,3720882000905,7610400014038,bomboniere
228,47508411152681,7891962054650,"bolos, biscoitos e bolachas"
229,3720882000905,7898633983561,bomboniere
230,63960005917,7898295300799,cervejas
231,71322150004408,7898367983813,cervejas
232,41185455001501,7894900660265,sucos e refrescos
233,47508411137100,7891024031865,dental
234,75315333008274,7891048038321,cafés e chás
235,47508411113945,7895000395576,aperitivos e salgadinhos
236,76430438007184,7899970400018,bomboniere
237,6057223023112,7891203059390,"bolos, biscoitos e bolachas"
238,6057223023112,7896025800168,doces e sobremesas
239,71322150001301,7891008101959,bomboniere
240,63960006212,7891991000826,refrigerantes
241,71322150004408,7896036095881,massas e molhos
242,47508411137100,12345678905,dental
243,47508411113945,7898286201449,sucos e refrescos
244,9535928000730,7891991010115,refrigerantes
245,47508411110687,7896051125433,iogurtes e sobremesas
246,71322150003266,40122311,massas e molhos
247,63960006212,7896445472419,refrigerantes
248,3720882000905,7891031412022,massas e molhos
249,39346861026802,7891991011877,cervejas
250,6057223023112,7896003703061,"bolos, biscoitos e bolachas"
251,3640467002219,7898915949155,cervejas
252,3720882000905,7897773302010,doces e sobremesas
253,63960006212,7898950338457,refrigerantes
254,47508411152681,7891000018774,"bolos, biscoitos e bolachas"
255,63960005917,7891079013045,massas e molhos
256,41185455001501,7805000312237,cafés e chás
257,41185455000378,5135352200459,massas e molhos
258,71322150003266,7891079000212,massas e molhos
259,47508411110687,7891048071083,aperitivos e salgadinhos
260,39346861029909,7896024724458,"bolos, biscoitos e bolachas"
261,51010502000800,7896036095904,massas e molhos
262,5154589000368,7891080402166,"manteigas, patês e requeijão"
263,47508411152681,7891000010433,doces e sobremesas
264,47508411152681,7893500065203,doces e sobremesas
265,3640467002219,7891991014809,cervejas
266,47508411135833,6897994013239,cervejas
267,47508411110687,7894000181011,sucos e refrescos
268,39346861029909,7898292885541,bomboniere
269,75315333008274,7898286200626,cafés e chás
270,8540603000198,7891515972028,iogurtes e sobremesas
271,6057223035552,7896440504832,limpeza roupas
272,6057223035552,7898341430074,sucos e refrescos
273,71322150003266,7896007865130,massas e molhos
274,32860231000676,7891025021117,bebidas lácteas
275,63960023575,6868492120361,massas e molhos
276,75315333008002,7898286200152,cafés e chás
277,71322150001301,7898261390793,"bolos, biscoitos e bolachas"
278,63960005917,7891149107018,cervejas
279,13004510024100,7891150053670,limpeza roupas
280,75315333009246,7891079013069,massas e molhos
281,71322150004408,7891149104956,cervejas
282,6057223035552,7891024031759,cabelo
283,39346861029909,7891000094716,iogurtes e sobremesas
284,41185455001501,7896010401158,leite
285,47508411137100,7898215151982,doces e sobremesas
286,3720882000905,7891268400014,dental
